Time[s], Channel 1
1.393947875, 0
1.393961, 1
1.3939743125, 0
1.3939874375, 1
1.39400075, 0
1.4011875, 1
1.4012008125, 0
1.4012139375, 1
1.4012271875, 0
1.4012403125, 1
1.401253625, 0
1.40126675, 1
1.40128, 0
1.4012931875, 1
1.4013064375, 0
1.4013195625, 1
1.401332875, 0
1.401346, 1
1.40135925, 0
1.401372375, 1
1.4013856875, 0
1.4013988125, 1
1.401412125, 0
1.40142525, 1
1.4014385, 0
1.401451625, 1
1.4014649375, 0
1.4014780625, 1
1.401491375, 0
1.4015045, 1
1.40151775, 0
1.401530875, 1
1.4015441875, 0
1.4015573125, 1
1.4015705625, 0
1.4015836875, 1
1.401597, 0
1.401610125, 1
1.401623375, 0
1.4016365625, 1
1.4016498125, 0
1.4016629375, 1
1.40167625, 0
1.401689375, 1
1.401702625, 0
1.40171575, 1
1.4017290625, 0
1.4017421875, 1
1.4017554375, 0
1.401768625, 1
1.401781875, 0
1.401795, 1
1.4018083125, 0
1.4018214375, 1
1.4018346875, 0
1.4018478125, 1
1.401861125, 0
1.40187425, 1
1.4018875, 0
1.4019006875, 1
1.4019139375, 0
1.4019270625, 1
1.401940375, 0
